2024-09-24 11:49:36,496 INFO    MainThread:35209 [wandb_setup.py:_flush():77] Current SDK version is 0.18.1
2024-09-24 11:49:36,497 INFO    MainThread:35209 [wandb_setup.py:_flush():77] Configure stats pid to 35209
2024-09-24 11:49:36,497 INFO    MainThread:35209 [wandb_setup.py:_flush():77] Loading settings from /Users/charlesoneill/.config/wandb/settings
2024-09-24 11:49:36,497 INFO    MainThread:35209 [wandb_setup.py:_flush():77] Loading settings from /Users/charlesoneill/sparse-inference/wild/wandb/settings
2024-09-24 11:49:36,497 INFO    MainThread:35209 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-24 11:49:36,497 INFO    MainThread:35209 [wandb_setup.py:_flush():77] Applying setup settings: {'mode': None, '_disable_service': None}
2024-09-24 11:49:36,497 INFO    MainThread:35209 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'wild/main.py', 'program_abspath': '/Users/charlesoneill/sparse-inference/wild/main.py', 'program': '/Users/charlesoneill/sparse-inference/wild/main.py'}
2024-09-24 11:49:36,497 INFO    MainThread:35209 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-24 11:49:36,497 INFO    MainThread:35209 [wandb_init.py:_log_setup():532] Logging user logs to /Users/charlesoneill/sparse-inference/wild/wandb/run-20240924_114936-m43ku6ac/logs/debug.log
2024-09-24 11:49:36,497 INFO    MainThread:35209 [wandb_init.py:_log_setup():533] Logging internal logs to /Users/charlesoneill/sparse-inference/wild/wandb/run-20240924_114936-m43ku6ac/logs/debug-internal.log
2024-09-24 11:49:36,497 INFO    MainThread:35209 [wandb_init.py:init():616] calling init triggers
2024-09-24 11:49:36,497 INFO    MainThread:35209 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {'layer': 9, 'input_dim': 768, 'projection_up': 22, 'l1_weight': 0.0001, 'lr': 0.003, 'n_batches': 5000, 'batch_size': 64, 'save_path': 'models/sparse_autoencoder.pth'}
2024-09-24 11:49:36,497 INFO    MainThread:35209 [wandb_init.py:init():666] starting backend
2024-09-24 11:49:36,497 INFO    MainThread:35209 [wandb_init.py:init():670] setting up manager
2024-09-24 11:49:36,498 INFO    MainThread:35209 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-09-24 11:49:36,499 INFO    MainThread:35209 [wandb_init.py:init():678] backend started and connected
2024-09-24 11:49:36,501 INFO    MainThread:35209 [wandb_init.py:init():773] updated telemetry
2024-09-24 11:49:36,513 INFO    MainThread:35209 [wandb_init.py:init():806] communicating run to backend with 90.0 second timeout
2024-09-24 11:49:36,884 INFO    MainThread:35209 [wandb_init.py:init():857] starting run threads in backend
2024-09-24 11:49:37,016 INFO    MainThread:35209 [wandb_run.py:_console_start():2459] atexit reg
2024-09-24 11:49:37,016 INFO    MainThread:35209 [wandb_run.py:_redirect():2307] redirect: wrap_raw
2024-09-24 11:49:37,016 INFO    MainThread:35209 [wandb_run.py:_redirect():2372] Wrapping output streams.
2024-09-24 11:49:37,016 INFO    MainThread:35209 [wandb_run.py:_redirect():2397] Redirects installed.
2024-09-24 11:49:37,018 INFO    MainThread:35209 [wandb_init.py:init():900] run started, returning control to user process
2024-09-24 11:49:55,623 WARNING MsgRouterThr:35209 [router.py:message_loop():77] message_loop has been closed
