Training on 40.96M total tokens.
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████| 1/1 [00:01<00:00,  1.02s/it]
Loaded pretrained model gpt2-small into HookedTransformer
Moving model to device:  cpu
Moving model to device:  cpu
Using Hugging Face token: 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
Batch [1/5000], Avg Reconstruction Loss: 1.306476, Avg L1 Loss: 20857.691406, Avg L0 Loss: 8457.578125, Avg Total Loss: 3.392246
Batch [2/5000], Avg Reconstruction Loss: 105.396210, Avg L1 Loss: 11423.847656, Avg L0 Loss: 5038.372070, Avg Total Loss: 106.538597
Batch [3/5000], Avg Reconstruction Loss: 3.150742, Avg L1 Loss: 6858.626953, Avg L0 Loss: 3130.559570, Avg Total Loss: 3.836605
Batch [4/5000], Avg Reconstruction Loss: 6.351223, Avg L1 Loss: 4536.640137, Avg L0 Loss: 2143.621338, Avg Total Loss: 6.804887
Batch [5/5000], Avg Reconstruction Loss: 11.267878, Avg L1 Loss: 2881.409180, Avg L0 Loss: 1394.780884, Avg Total Loss: 11.556019
Batch [6/5000], Avg Reconstruction Loss: 7.548729, Avg L1 Loss: 1868.673218, Avg L0 Loss: 990.444214, Avg Total Loss: 7.735597
Batch [7/5000], Avg Reconstruction Loss: 3.430810, Avg L1 Loss: 1129.873657, Avg L0 Loss: 669.931030, Avg Total Loss: 3.543797
Batch [8/5000], Avg Reconstruction Loss: 1.654572, Avg L1 Loss: 674.669250, Avg L0 Loss: 464.644775, Avg Total Loss: 1.722039
Batch [9/5000], Avg Reconstruction Loss: 1.181916, Avg L1 Loss: 401.330383, Avg L0 Loss: 323.822388, Avg Total Loss: 1.222049
Batch [10/5000], Avg Reconstruction Loss: 1.116335, Avg L1 Loss: 273.300995, Avg L0 Loss: 249.764771, Avg Total Loss: 1.143665
Batch [11/5000], Avg Reconstruction Loss: 1.116303, Avg L1 Loss: 177.475281, Avg L0 Loss: 178.701660, Avg Total Loss: 1.134051
Batch [12/5000], Avg Reconstruction Loss: 1.121131, Avg L1 Loss: 134.794403, Avg L0 Loss: 147.650269, Avg Total Loss: 1.134610
Batch [13/5000], Avg Reconstruction Loss: 1.132427, Avg L1 Loss: 87.338516, Avg L0 Loss: 98.712402, Avg Total Loss: 1.141161
Batch [14/5000], Avg Reconstruction Loss: 1.128516, Avg L1 Loss: 67.250000, Avg L0 Loss: 81.108276, Avg Total Loss: 1.135241
Batch [15/5000], Avg Reconstruction Loss: 1.122051, Avg L1 Loss: 48.853531, Avg L0 Loss: 60.524414, Avg Total Loss: 1.126937
Batch [16/5000], Avg Reconstruction Loss: 1.122277, Avg L1 Loss: 45.212955, Avg L0 Loss: 54.797241, Avg Total Loss: 1.126798
Batch [17/5000], Avg Reconstruction Loss: 1.120138, Avg L1 Loss: 34.403599, Avg L0 Loss: 43.189087, Avg Total Loss: 1.123579
Batch [18/5000], Avg Reconstruction Loss: 1.122833, Avg L1 Loss: 30.868563, Avg L0 Loss: 37.597168, Avg Total Loss: 1.125920
Batch [19/5000], Avg Reconstruction Loss: 1.121513, Avg L1 Loss: 19.011951, Avg L0 Loss: 25.039551, Avg Total Loss: 1.123414
Batch [20/5000], Avg Reconstruction Loss: 1.119780, Avg L1 Loss: 28.616941, Avg L0 Loss: 34.842529, Avg Total Loss: 1.122642
Batch [21/5000], Avg Reconstruction Loss: 1.121116, Avg L1 Loss: 16.359085, Avg L0 Loss: 21.578003, Avg Total Loss: 1.122752
Batch [22/5000], Avg Reconstruction Loss: 1.118868, Avg L1 Loss: 19.142443, Avg L0 Loss: 24.181152, Avg Total Loss: 1.120782
Batch [23/5000], Avg Reconstruction Loss: 1.123500, Avg L1 Loss: 25.041574, Avg L0 Loss: 27.758545, Avg Total Loss: 1.126005
Batch [24/5000], Avg Reconstruction Loss: 1.120977, Avg L1 Loss: 13.312054, Avg L0 Loss: 16.944580, Avg Total Loss: 1.122308
Batch [25/5000], Avg Reconstruction Loss: 1.115351, Avg L1 Loss: 20.565788, Avg L0 Loss: 26.549072, Avg Total Loss: 1.117407
Batch [26/5000], Avg Reconstruction Loss: 1.120424, Avg L1 Loss: 17.128870, Avg L0 Loss: 20.323242, Avg Total Loss: 1.122136
Batch [27/5000], Avg Reconstruction Loss: 1.121933, Avg L1 Loss: 10.496389, Avg L0 Loss: 13.164429, Avg Total Loss: 1.122983
Batch [28/5000], Avg Reconstruction Loss: 1.111124, Avg L1 Loss: 22.078609, Avg L0 Loss: 27.329468, Avg Total Loss: 1.113332
Batch [29/5000], Avg Reconstruction Loss: 1.123514, Avg L1 Loss: 8.206157, Avg L0 Loss: 10.554565, Avg Total Loss: 1.124334
Batch [30/5000], Avg Reconstruction Loss: 1.118701, Avg L1 Loss: 9.056571, Avg L0 Loss: 11.671875, Avg Total Loss: 1.119607
Batch [31/5000], Avg Reconstruction Loss: 1.118145, Avg L1 Loss: 11.469592, Avg L0 Loss: 14.099365, Avg Total Loss: 1.119292
